ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
11,17556.0,0.1187,3.1316,2083.8972,54968.8122,FTX,2020-11-17 22:04:55
12,17556.5,0.3262,3.4578,5726.9303,60695.7425,FTX,2020-11-17 22:04:55
13,17557.5,0.11,3.5678,1931.325,62627.0675,FTX,2020-11-17 22:04:55
14,17558.5,0.125,3.6928,2194.8125,64821.88,FTX,2020-11-17 22:04:55
15,17561.5,1.0446,4.7374,18344.7429,83166.6229,FTX,2020-11-17 22:04:55
16,17562.0,12.5215,12.5215,219902.583,219902.583,FTXUS,2020-11-17 22:04:55
17,17562.0,0.1688,4.9062,2964.4656,86131.0885,FTX,2020-11-17 22:04:55
18,17566.0,0.9791,13.5006,17198.8706,237101.4536,FTXUS,2020-11-17 22:04:55
19,17566.0,11.4819,16.3881,201691.0554,287822.1439,FTX,2020-11-17 22:04:55
0,17541.0,3.0823,3.0823,54066.6243,54066.6243,FTX,2020-11-17 22:05:00
1,17543.5,0.0593,3.1416,1040.32955,55106.95385,FTX,2020-11-17 22:05:00
2,17545.0,0.1593,3.3009,2794.9185,57901.87235,FTX,2020-11-17 22:05:00
